               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        7.3880E-06    2.6474E-02    2.6316E-03
2        7.6129E-06    2.6505E-02    2.6388E-03
3        7.7209E-06    2.6426E-02    2.6439E-03
4        7.7496E-06    2.6160E-02    2.6472E-03
5        7.7976E-06    2.5846E-02    2.6488E-03
6        7.8478E-06    2.5566E-02    2.6487E-03
7        1.5867E-05    5.0896E-02    5.2957E-03
8        0.0000E+00    0.0000E+00    0.0000E+00
9        8.0264E-06    2.4757E-02    2.6353E-03
10       8.0936E-06    2.4548E-02    2.6255E-03
11       8.1664E-06    2.4350E-02    2.6123E-03
12       8.2426E-06    2.4207E-02    2.5952E-03
13       8.3214E-06    2.4118E-02    2.5733E-03
14       8.4106E-06    2.4067E-02    2.5458E-03
15       8.5058E-06    2.4025E-02    2.5115E-03
16       8.5980E-06    2.4004E-02    2.4691E-03
17       8.6582E-06    2.3993E-02    2.4174E-03
18       8.6017E-06    2.3856E-02    2.3560E-03
19       1.5815E-05    4.6330E-02    4.5133E-03
20       7.8625E-06    2.0385E-02    2.1669E-03
21       9.7485E-06    1.8395E-02    2.1047E-03
22       7.7306E-06    1.7899E-02    1.9897E-03
23       4.9696E-06    1.7251E-02    1.8660E-03
24       5.3685E-06    1.4263E-02    1.7991E-03
25       8.6462E-06    9.8647E-03    1.7686E-03
26       9.3010E-06    7.1860E-03    1.6803E-03
27       2.5294E-06    6.6564E-03    1.5193E-03
28       8.5017E-07    3.5821E-03    1.4343E-03
29       2.3443E-06    3.5913E-03    1.4855E-03
30       5.3800E-06    1.0621E-02    1.5620E-03
31       2.9260E-06    1.3343E-02    1.5542E-03
32       1.3466E-06    1.2154E-02    1.4926E-03
33       5.2655E-06    7.4177E-03    1.3916E-03
34       1.5336E-06    1.1411E-03    1.2179E-03
35       1.5882E-06    8.6289E-03    1.0881E-03
36       3.3353E-06    1.2205E-02    1.0523E-03
37       8.8630E-06    1.3217E-02    1.0610E-03
38       5.0781E-06    1.4678E-02    1.0129E-03
39       3.7138E-06    1.4086E-02    9.8344E-04
40       2.6590E-06    1.0468E-02    1.0106E-03
41       7.5909E-07    3.9008E-03    1.1147E-03
42       1.0247E-05    3.6126E-03    1.2651E-03
43       5.5772E-06    4.5573E-03    1.2383E-03
44       2.8478E-07    1.1953E-03    1.1163E-03
45       4.1999E-06    1.2373E-03    1.0409E-03
46       3.3066E-06    2.9792E-03    9.8056E-04
47       5.3748E-06    9.6117E-04    1.0399E-03
48       5.2253E-06    2.5763E-04    1.0605E-03
49       2.3217E-06    2.2976E-03    1.0084E-03
50       1.2695E-06    4.2398E-03    9.7535E-04
51       1.9299E-06    4.4802E-03    1.0050E-03
52       3.7411E-06    3.5434E-03    1.0797E-03
53       8.1732E-06    3.4712E-03    1.1349E-03
54       3.3249E-06    6.7095E-03    1.0912E-03
55       5.2813E-06    1.0256E-02    1.0409E-03
56       6.0857E-06    1.3044E-02    9.9872E-04
57       4.4590E-06    1.4654E-02    9.6792E-04
58       4.6937E-06    1.3888E-02    9.8757E-04
59       5.4641E-06    1.1606E-02    1.0450E-03
60       5.7202E-06    9.5878E-03    1.0957E-03
61       3.8601E-06    8.7433E-03    1.1220E-03
62       9.4461E-06    9.1462E-03    1.1210E-03
63       4.3585E-06    1.2390E-02    1.0200E-03
64       6.6987E-06    1.5104E-02    9.2107E-04
65       4.9520E-06    1.6210E-02    8.3676E-04
66       1.7938E-06    1.4021E-02    8.1910E-04
67       2.3592E-06    7.0721E-03    9.4706E-04
68       1.5028E-05    1.5516E-03    1.0283E-03
69       3.4730E-06    6.1830E-03    7.4606E-04
70       3.1579E-06    1.1191E-02    4.6146E-04
71       1.7330E-07    9.8616E-03    3.8897E-04
72       1.4386E-06    3.8366E-03    4.6524E-04
73       1.0155E-05    2.5837E-03    5.5273E-04
74       2.2642E-06    3.6925E-03    4.5506E-04
75       3.6162E-06    4.3205E-03    3.8227E-04
76       1.4535E-06    6.1465E-03    4.0148E-04
77       1.0237E-06    7.4470E-03    4.3447E-04
78       1.8772E-06    5.8767E-03    3.8604E-04
79       1.1630E-05    3.3659E-03    3.1655E-04
80       6.6811E-06    5.6117E-03    4.2746E-04
81       1.5444E-06    3.0729E-03    3.4119E-04
82       3.2948E-06    3.2701E-03    1.0663E-04
83       7.3414E-06    6.6258E-03    3.9834E-05
84       6.1327E-06    4.0337E-03    9.9410E-07
85       4.2030E-06    1.5424E-03    1.3387E-06
86       3.6901E-06    7.9722E-04    2.6178E-05
87       2.2688E-06    6.5368E-03    7.2877E-05
88       4.3807E-06    1.1647E-02    1.6566E-04
89       1.2358E-06    1.2018E-02    1.0941E-04
90       1.3419E-06    8.6827E-03    5.1561E-05
91       9.5451E-06    3.6552E-03    2.6346E-04
92       2.1935E-06    4.5489E-03    2.6790E-04
93       1.7168E-06    7.6273E-03    2.0376E-04
94       1.7264E-06    9.8364E-03    1.6676E-04
95       5.8690E-06    1.2447E-02    8.9134E-05
96       6.1500E-06    1.6271E-02    8.1826E-05
97       3.5005E-06    1.2631E-02    5.4427E-05
98       4.7096E-06    2.1510E-03    1.4530E-04
99       3.3722E-06    5.5129E-03    2.3182E-04
100      5.5860E-07    7.9268E-03    1.6805E-04
101      2.5284E-06    7.5368E-03    4.2268E-05
102      5.8779E-06    7.0154E-03    6.9483E-05
103      5.7534E-06    9.2208E-03    5.9763E-05
104      1.0995E-06    7.8403E-03    1.4259E-04
105      2.0021E-06    3.8294E-03    2.9247E-04
106      1.4903E-06    6.8491E-04    4.1022E-04
107      1.8278E-06    5.9094E-04    4.3235E-04
108      3.3196E-06    3.2984E-03    3.6569E-04
109      9.8022E-07    5.8411E-03    2.9403E-04
110      6.4770E-07    6.4225E-03    2.8581E-04
111      9.1611E-06    5.3692E-03    3.3965E-04
112      2.3801E-06    6.4968E-03    3.1577E-04
113      1.1436E-06    6.1902E-03    3.4590E-04
114      1.0848E-05    2.7883E-03    4.9869E-04
115      9.2389E-06    3.4607E-03    5.0138E-04
116      1.5589E-06    7.2452E-03    3.8253E-04
117      2.6991E-06    5.7775E-03    4.3792E-04
118      5.7674E-06    1.0847E-03    5.8714E-04
119      2.3204E-06    1.9697E-03    6.7181E-04
120      1.3980E-05    4.5443E-04    6.1559E-04
121      4.0204E-06    9.2465E-03    2.7457E-04
122      3.6272E-07    1.3719E-02    1.1955E-04
123      7.6621E-06    1.1798E-02    1.6544E-04
124      5.5082E-06    8.4378E-03    2.3478E-04
125      1.4312E-05    6.8575E-03    2.1763E-04
126      6.9719E-06    8.3536E-03    5.2145E-05
127      4.9374E-06    3.5419E-03    1.2389E-04
128      8.8455E-06    2.3109E-03    2.4270E-04
129      1.9446E-06    5.4684E-03    2.8824E-04
130      1.5820E-05    6.2379E-03    3.0584E-04
131      1.6120E-06    1.0054E-03    5.0363E-05
132      1.8591E-06    7.6492E-03    1.6451E-04
133      4.2243E-06    8.0723E-03    1.5577E-04
134      8.0745E-06    4.8188E-03    3.2881E-05
135      1.2985E-05    2.1725E-03    5.9556E-05
136      2.8598E-06    2.2497E-03    3.8167E-05
137      6.3805E-06    2.0524E-03    1.9583E-04
138      1.1026E-05    8.9840E-03    4.7138E-04
139      6.6570E-06    9.4354E-03    5.0882E-04
140      1.3709E-05    8.5520E-03    5.2984E-04
141      2.3083E-06    3.8619E-04    2.5694E-04
142      1.7859E-08    6.1453E-03    3.1830E-07
143      7.7501E-06    5.0262E-03    3.6574E-05
144      1.0510E-06    5.1202E-03    2.1995E-04
145      1.3614E-06    1.5469E-02    4.8399E-04
146      1.5999E-05    1.8905E-02    5.5617E-04
147      1.0825E-05    8.6005E-03    1.9432E-04
148      1.3781E-05    1.9315E-03    1.1028E-04
149      9.6885E-07    2.3065E-03    5.2838E-05
