               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        7.5675E-06    2.6376E-02    2.6317E-03
2        7.7347E-06    2.6520E-02    2.6381E-03
3        7.8138E-06    2.6349E-02    2.6425E-03
4        7.8495E-06    2.6061E-02    2.6453E-03
5        7.9002E-06    2.5757E-02    2.6463E-03
6        7.9520E-06    2.5458E-02    2.6455E-03
7        1.6083E-05    5.0697E-02    5.2871E-03
8        0.0000E+00    0.0000E+00    0.0000E+00
9        8.1368E-06    2.4686E-02    2.6297E-03
10       8.2046E-06    2.4476E-02    2.6188E-03
11       8.2796E-06    2.4291E-02    2.6044E-03
12       8.3543E-06    2.4175E-02    2.5858E-03
13       8.4400E-06    2.4086E-02    2.5622E-03
14       8.5319E-06    2.4047E-02    2.5326E-03
15       8.6281E-06    2.4015E-02    2.4957E-03
16       8.7149E-06    2.3994E-02    2.4504E-03
17       8.7507E-06    2.3951E-02    2.3955E-03
18       8.6200E-06    2.3758E-02    2.3312E-03
19       1.5658E-05    4.5467E-02    4.4659E-03
20       8.6055E-06    1.9618E-02    2.1475E-03
21       9.7611E-06    1.8059E-02    2.0703E-03
22       6.6011E-06    1.7854E-02    1.9428E-03
23       4.8805E-06    1.6520E-02    1.8345E-03
24       6.3012E-06    1.2812E-02    1.7867E-03
25       9.7659E-06    8.6315E-03    1.7485E-03
26       7.6073E-06    6.9607E-03    1.6275E-03
27       5.8379E-07    6.1443E-03    1.4734E-03
28       5.6091E-08    1.4895E-03    1.4383E-03
29       3.5135E-06    6.2083E-03    1.5133E-03
30       5.6986E-06    1.2118E-02    1.5694E-03
31       1.1842E-06    1.3259E-02    1.5327E-03
32       3.9887E-06    1.1120E-02    1.4679E-03
33       3.2678E-06    4.7233E-03    1.3336E-03
34       2.0339E-06    3.9351E-03    1.1657E-03
35       1.3668E-06    1.0318E-02    1.0628E-03
36       6.1851E-06    1.2579E-02    1.0574E-03
37       7.8568E-06    1.3696E-02    1.0480E-03
38       4.3885E-06    1.4800E-02    9.9622E-04
39       3.9570E-06    1.3166E-02    9.8507E-04
40       1.3878E-06    8.6208E-03    1.0332E-03
41       2.9891E-06    1.1757E-03    1.1675E-03
42       1.2027E-05    4.9060E-03    1.2819E-03
43       1.4653E-06    3.4609E-03    1.1917E-03
44       2.2853E-06    3.8760E-04    1.0896E-03
45       1.3781E-06    2.1256E-03    1.0107E-03
46       1.6761E-06    2.5878E-03    9.8936E-04
47       6.8343E-06    3.2498E-04    1.0574E-03
48       4.5357E-06    7.4737E-04    1.0460E-03
49       1.3238E-06    3.1147E-03    9.8947E-04
50       1.8571E-06    4.5064E-03    9.7777E-04
51       2.3880E-06    4.2724E-03    1.0251E-03
52       5.2896E-06    3.2282E-03    1.1049E-03
53       7.2740E-06    4.2437E-03    1.1278E-03
54       3.3753E-06    8.0046E-03    1.0700E-03
55       6.1947E-06    1.1225E-02    1.0261E-03
56       5.7124E-06    1.3798E-02    9.8367E-04
57       4.3916E-06    1.4663E-02    9.6701E-04
58       5.0189E-06    1.3233E-02    1.0030E-03
59       6.0255E-06    1.0786E-02    1.0639E-03
60       4.7860E-06    9.2526E-03    1.1038E-03
61       5.7171E-06    8.5899E-03    1.1283E-03
62       8.2787E-06    1.0007E-02    1.0940E-03
63       4.6746E-06    1.3471E-02    9.8220E-04
64       7.1485E-06    1.5664E-02    8.9062E-04
65       2.7959E-06    1.5992E-02    8.1585E-04
66       1.7371E-06    1.2093E-02    8.4774E-04
67       3.5405E-06    4.6465E-03    9.9310E-04
68       1.6703E-05    1.8700E-03    9.7686E-04
69       7.4943E-06    8.5741E-03    6.2328E-04
70       5.4275E-07    1.1366E-02    4.1798E-04
71       6.8475E-07    8.2825E-03    3.9900E-04
72       5.0624E-06    1.3101E-03    5.0702E-04
73       7.8482E-06    3.4992E-03    5.3612E-04
74       4.6629E-06    3.6803E-03    4.1588E-04
75       2.1502E-06    4.9215E-03    3.8301E-04
76       1.9718E-06    6.6626E-03    4.1128E-04
77       4.7955E-06    7.5281E-03    4.3853E-04
78       6.8210E-06    4.4725E-03    3.3967E-04
79       4.7594E-06    3.9837E-03    3.5061E-04
80       7.9112E-06    5.6293E-03    4.3010E-04
81       2.7437E-06    9.8450E-04    2.6441E-04
82       6.7443E-06    5.0906E-03    3.5046E-05
83       2.4790E-06    6.1332E-03    3.6875E-05
84       7.5271E-06    3.0046E-03    1.2158E-05
85       1.8022E-06    9.3916E-04    1.3081E-05
86       5.9629E-06    2.2495E-03    1.2256E-05
87       4.5235E-06    8.8751E-03    1.2523E-04
88       2.3122E-06    1.1983E-02    1.4947E-04
89       5.9775E-06    1.1648E-02    8.1361E-05
90       7.1090E-06    6.4826E-03    1.4189E-04
91       5.8716E-06    3.4598E-03    2.8191E-04
92       9.6122E-07    5.5360E-03    2.4750E-04
93       1.6131E-06    8.4855E-03    1.8809E-04
94       3.1225E-06    1.0514E-02    1.5165E-04
95       5.0060E-06    1.3800E-02    3.7076E-05
96       1.1773E-05    1.6405E-02    1.1242E-04
