               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        3.2940E-03    4.2652E-03    2.8877E-03
2        8.3385E-04    2.5677E-03    7.4270E-06
3        8.2597E-04    2.6498E-03    2.1006E-05
4        7.9856E-04    2.7621E-03    3.6518E-05
5        7.4863E-04    2.8933E-03    5.4157E-05
6        6.7256E-04    2.9372E-03    6.5398E-05
7        1.1173E-03    4.0732E-03    2.8716E-05
8        0.0000E+00    0.0000E+00    0.0000E+00
9        5.4019E-04    1.2966E-03    7.7513E-05
10       4.3123E-04    4.9472E-04    1.9562E-05
11       4.0169E-04    7.8264E-04    3.0736E-05
12       4.4907E-04    2.0136E-03    4.7209E-05
13       5.1755E-04    1.7829E-03    8.2514E-05
14       3.9751E-04    6.6247E-04    1.4094E-04
15       1.9738E-04    2.9056E-05    7.2494E-05
16       9.0352E-05    4.0694E-04    4.5884E-05
17       2.4753E-05    7.2902E-04    1.2261E-04
18       2.0688E-04    1.9190E-03    1.3054E-04
19       5.1572E-04    4.1758E-04    2.4437E-04
20       3.7471E-05    5.8102E-05    8.1724E-05
21       1.5635E-04    8.0455E-04    8.9256E-05
22       2.8224E-04    1.6091E-03    8.0785E-05
23       4.0871E-04    3.0627E-03    1.8005E-04
24       6.6299E-04    4.8547E-04    2.6199E-04
25       2.8646E-04    1.6008E-03    1.6021E-04
26       5.8018E-05    1.8267E-03    2.7684E-05
27       9.8097E-05    1.8671E-03    1.1123E-05
28       1.1347E-04    2.2355E-03    5.0112E-05
29       3.8968E-05    2.2453E-03    3.5532E-05
30       1.3485E-05    9.1897E-04    8.9659E-05
31       1.1925E-04    1.2798E-03    1.7631E-04
32       3.6904E-04    1.0246E-03    1.0696E-04
33       2.1707E-04    1.0789E-03    2.3301E-05
34       1.8446E-04    9.8057E-04    2.2675E-05
35       1.5178E-04    8.4632E-05    1.0105E-04
36       5.5278E-06    4.8582E-04    5.8764E-05
37       8.1579E-05    7.9351E-04    4.4672E-05
38       1.4551E-04    1.1924E-04    6.4044E-05
39       5.5737E-05    2.6858E-04    2.7100E-05
40       1.6687E-05    5.4714E-04    2.9261E-05
41       2.8293E-05    1.2658E-03    9.6374E-05
42       1.6465E-04    6.4978E-04    4.8278E-05
43       9.5272E-05    4.8302E-04    9.4473E-05
44       4.1397E-05    8.0400E-04    1.1456E-05
45       5.7227E-05    2.9624E-04    6.6551E-05
46       3.9394E-05    5.2780E-04    2.4676E-05
47       1.3109E-06    1.5535E-03    1.1129E-04
48       1.6462E-04    1.5888E-03    9.6789E-06
49       1.7546E-04    4.9495E-04    2.1629E-04
50       1.3242E-04    2.4603E-04    7.0134E-05
51       3.3827E-05    4.9191E-05    2.2841E-05
52       3.0248E-06    1.3516E-04    2.0931E-05
53       3.1046E-05    9.6931E-04    1.1314E-04
54       1.3385E-04    1.5330E-03    4.8603E-05
55       2.0821E-04    5.5202E-04    1.0575E-04
56       4.8177E-05    1.8773E-03    2.5559E-04
57       3.1378E-04    1.2804E-03    9.3289E-05
58       1.7862E-04    1.4102E-03    4.7164E-05
59       2.4797E-04    1.1123E-03    4.6927E-06
60       2.4373E-04    1.8634E-04    8.4486E-05
61       1.2424E-04    1.2434E-03    1.4893E-04
62       3.3330E-04    6.6027E-04    5.2416E-05
63       2.6570E-04    9.0519E-05    1.8328E-05
64       2.3664E-04    1.5431E-03    1.5902E-04
65       6.8667E-06    2.0873E-03    5.9964E-05
66       8.2636E-05    1.1556E-03    6.7590E-05
67       2.2975E-05    6.5686E-04    1.5713E-04
68       2.3964E-04    1.7369E-04    1.4553E-04
69       3.0424E-05    4.2849E-04    5.3497E-05
70       1.1077E-04    1.9928E-03    1.7063E-04
71       3.5685E-04    6.7591E-04    1.4490E-04
72       1.4584E-04    1.9071E-03    2.6459E-04
73       2.3742E-04    1.6933E-03    3.8498E-05
74       1.8426E-04    6.1305E-04    8.7353E-05
75       5.5969E-05    5.0566E-04    8.3838E-05
76       6.5430E-05    1.2710E-03    5.7732E-05
77       1.4748E-04    1.1898E-03    2.3710E-05
78       1.1520E-04    1.2282E-03    5.0794E-06
79       1.1772E-04    7.2067E-04    6.6411E-05
80       2.4188E-05    1.6046E-03    1.0036E-04
81       1.6964E-04    1.9522E-03    4.3202E-05
82       2.3213E-04    8.6921E-04    9.3140E-05
83       9.5747E-05    2.3222E-04    7.8195E-05
84       2.0113E-05    6.8987E-04    2.1149E-05
85       3.6237E-05    1.4670E-03    2.7300E-04
86       3.3767E-04    4.9330E-04    2.2639E-04
87       1.9783E-05    8.5635E-04    8.9562E-06
88       3.9155E-07    1.1650E-03    4.3392E-05
89       5.2020E-05    9.5341E-04    2.3238E-04
90       2.7759E-04    2.1143E-04    1.5795E-04
91       4.9411E-05    1.7380E-03    1.5701E-04
92       1.7965E-04    2.4740E-03    8.3024E-05
93       3.0128E-04    1.9526E-03    2.5138E-05
94       2.6694E-04    8.2749E-04    6.5660E-05
95       1.7128E-04    2.7114E-04    5.8919E-05
96       9.0057E-05    9.3856E-05    7.9539E-05
97       2.1041E-04    4.3071E-04    9.1040E-06
98       2.1629E-04    3.4983E-03    3.2070E-04
99       2.4379E-04    4.0439E-03    4.1249E-05
100      2.9904E-04    2.2266E-03    1.6074E-04
101      7.0380E-05    4.3548E-04    1.2875E-04
102      1.1788E-04    1.3065E-03    1.5312E-04
103      3.4228E-04    1.2104E-03    1.9616E-05
104      3.2202E-04    1.2133E-03    2.4732E-04
105      4.0597E-05    3.4365E-03    2.1960E-04
106      3.6715E-04    2.5107E-03    1.0833E-04
107      2.0631E-04    2.9446E-04    1.9901E-04
108      8.6909E-05    1.4131E-03    1.3755E-04
109      2.8298E-04    6.0996E-04    1.2526E-04
110      1.1015E-04    1.3326E-03    9.2384E-05
111      2.4275E-04    5.6108E-04    8.7788E-05
112      1.1326E-04    4.1347E-05    4.4870E-05
113      5.3778E-05    1.1484E-03    1.8326E-04
114      3.1759E-04    2.8891E-04    1.1543E-04
115      1.5242E-04    1.8954E-03    1.1122E-04
116      8.7202E-06    2.4893E-03    3.5478E-05
-----------------------------------------------
        Converged at the time 1.16 a.u.        
-----------------------------------------------
Warmup stage ended according to set thresholds:
    Rel. DE         Rel. DP        Rel. DT     
    3.0E-05         5.0E-03        1.0E-04     
-----------------------------------------------
Averaged values after this time:
System energy      E_tot :             138.2470
System pressure    P     :               0.5086
System temperature T     :           2.0003E+00
